index,Supplement,Oil_retention,Water_retention,Bulk_density,Tapped_density,L,a,b,C,h,Curcumin_binding_capacity,Particle_size,Specific_surface_area,Biscuit_hardness,Custard_viscosity,Custard_firmness,Custard_stickiness,Cellulose,Hemicellulose,Dextrine,Pectin,Lignin,Fructans,Insoluble_fibre,Soluble_fibre,Protein,Carbs,Fat,Water,Ash,type,bioaccessibility
62,non-supplemented,0,0,0,0,0,0,0,0,0,0,0,0,1709,7453,91,-60,0.000849057,0,0,0,0,0,0.0009,0,0.07164,0.51,0.09912,0.28412,0.0056,1,48.85630485
63,non-supplemented,0,0,0,0,0,0,0,0,0,0,0,0,1709,7453,91,-60,0.000849057,0,0,0,0,0,0.0009,0,0.07164,0.51,0.09912,0.28412,0.0056,1,44.65299694
64,non-supplemented,0,0,0,0,0,0,0,0,0,0,0,0,1709,7453,91,-60,0.000849057,0,0,0,0,0,0.0009,0,0.07164,0.51,0.09912,0.28412,0.0056,1,41.17670738
65,non-supplemented,0,0,0,0,0,0,0,0,0,0,0,0,1709,7453,91,-60,0.000849057,0,0,0,0,0,0.0009,0,0.07164,0.51,0.09912,0.28412,0.0056,1,43.25826191
67,non-supplemented,0,0,0,0,0,0,0,0,0,0,0,0,1709,7453,91,-60,0.000849057,0,0,0,0,0,0.0009,0,0.07164,0.51,0.09912,0.28412,0.0056,1,40.66465351
68,non-supplemented,0,0,0,0,0,0,0,0,0,0,0,0,1709,7453,91,-60,0.000849057,0,0,0,0,0,0.0009,0,0.07164,0.51,0.09912,0.28412,0.0056,1,46.09279655
69,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0,0,0.0003375,0,0,0.050625,0,0.0509625,0.036,0.20825,0.039875,0.645625,0.002,2,34.09380726
70,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0,0,0.0003375,0,0,0.050625,0,0.0509625,0.036,0.20825,0.039875,0.645625,0.002,2,29.22066875
71,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0,0,0.0003375,0,0,0.050625,0,0.0509625,0.036,0.20825,0.039875,0.645625,0.002,2,28.32672905
72,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0,0,0.0003375,0,0,0.050625,0,0.0509625,0.036,0.20825,0.039875,0.645625,0.002,2,32.77212723
73,Inulin (Orafti®GR),2.2,0,0.603013333,0.64516129,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,0,120.6485,0.1495,1802,5383,68.16666667,-33.33333333,0,0,0.0003375,0,0,0.050625,0,0.0509625,0.036,0.20825,0.039875,0.645625,0.002,2,32.98683858
